order_id,product_id,name,quantity,price,total,Rental start,Rental end,condition,age,date_added,status,category,sub_category,product,period
99,622,"Jocuu Juicer Machine, Centrifugal Juicer Juice Extractor",1,3.99,3.99,9/19/2019 0:00,9/27/2019 0:00,,,10/3/2019 14:32,Processing,other,,,8
99,556,Canon PowerShot SX420 IS Digital Camera (Black),2,20.99,41.98,9/20/2019 0:00,9/25/2019 0:00,,,9/18/2019 12:24,Pending,other,,,5
99,622,"Jocuu Juicer Machine, Centrifugal Juicer Juice Extractor",1,3.99,3.99,9/20/2019 0:00,9/25/2019 0:00,,,9/18/2019 12:24,Pending,other,,,5
99,556,Canon PowerShot SX420 IS Digital Camera (Black),2,20.99,41.98,9/20/2019 0:00,9/25/2019 0:00,,,10/1/2019 11:05,Processed,other,,,5
99,622,"Jocuu Juicer Machine, Centrifugal Juicer Juice Extractor",1,3.99,3.99,9/20/2019 0:00,9/25/2019 0:00,,,10/1/2019 11:05,Processed,other,,,5
99,556,Canon PowerShot SX420 IS Digital Camera (Black),2,20.99,41.98,9/20/2019 0:00,9/25/2019 0:00,,,10/3/2019 14:32,Processing,other,,,5
99,622,"Jocuu Juicer Machine, Centrifugal Juicer Juice Extractor",1,3.99,3.99,9/20/2019 0:00,9/25/2019 0:00,,,10/3/2019 14:32,Processing,other,,,5
112,624,Alesis Drums Nitro Mesh Kit | Eight Piece All-Mesh Electronic Drum Kit ,1,24.99,24.99,11/1/2019 0:00,11/2/2019 0:00,,,9/21/2019 11:55,Pending,other,,,1
121,749,Air Movers,1,86.31,86.31,9/24/2019 0:00,10/4/2019 0:00,,,9/25/2019 6:49,Pending,other,,,10
122,77,1625 CFM High-volume Air Mover ,1,10,10,10/1/2019 0:00,10/10/2019 0:00,,,9/25/2019 7:44,Pending,other,,,9
123,739,Air Conditioners,1,75.6,75.6,10/1/2019 0:00,10/11/2019 0:00,,,9/25/2019 7:52,Pending,other,,,10
125,579,AMSTON ANSI Z87+ Standards Safety Glasses,1,1.99,1.99,9/25/2019 0:00,10/5/2019 0:00,,,9/25/2019 12:20,Pending,other,,,10
125,579,AMSTON ANSI Z87+ Standards Safety Glasses,1,1.99,1.99,9/25/2019 0:00,10/5/2019 0:00,,,9/26/2019 3:53,Processing,other,,,10
125,579,AMSTON ANSI Z87+ Standards Safety Glasses,1,1.99,1.99,9/25/2019 0:00,10/5/2019 0:00,,,9/26/2019 3:57,Withdraw/Prepone,other,,,10
125,579,AMSTON ANSI Z87+ Standards Safety Glasses,1,1.99,1.99,9/25/2019 0:00,10/5/2019 0:00,,,9/28/2019 6:57,Complete,other,,,10
125,579,AMSTON ANSI Z87+ Standards Safety Glasses,1,1.99,1.99,9/25/2019 0:00,10/5/2019 0:00,,,9/28/2019 8:23,Complete,other,,,10
125,579,AMSTON ANSI Z87+ Standards Safety Glasses,1,1.99,1.99,9/25/2019 0:00,10/5/2019 0:00,,,9/28/2019 8:37,Complete,other,,,10
130,772,YEARLY DELIVERY MEMBERSHIP,1,39,39,10/1/2019 0:00,10/8/2019 0:00,,,9/26/2019 5:57,Pending,other,,,7
130,775,"GE 6,000 BTU 115-Volt Electronic Room Window Air Conditioner with Remote",1,52.92,52.92,10/1/2019 0:00,10/8/2019 0:00,,,9/26/2019 5:57,Pending,other,,,7
130,772,YEARLY DELIVERY MEMBERSHIP,1,39,39,10/1/2019 0:00,10/8/2019 0:00,,,9/27/2019 11:48,Complete,other,,,7
130,775,"GE 6,000 BTU 115-Volt Electronic Room Window Air Conditioner with Remote",1,52.92,52.92,10/1/2019 0:00,10/8/2019 0:00,,,9/27/2019 11:48,Complete,other,,,7
130,772,YEARLY DELIVERY MEMBERSHIP,1,39,39,10/1/2019 0:00,10/8/2019 0:00,,,9/27/2019 12:08,Processed,other,,,7
130,775,"GE 6,000 BTU 115-Volt Electronic Room Window Air Conditioner with Remote",1,52.92,52.92,10/1/2019 0:00,10/8/2019 0:00,,,9/27/2019 12:08,Processed,other,,,7
130,772,YEARLY DELIVERY MEMBERSHIP,1,39,39,10/1/2019 0:00,10/8/2019 0:00,,,9/27/2019 12:58,Complete,other,,,7
130,775,"GE 6,000 BTU 115-Volt Electronic Room Window Air Conditioner with Remote",1,52.92,52.92,10/1/2019 0:00,10/8/2019 0:00,,,9/27/2019 12:58,Complete,other,,,7
130,772,YEARLY DELIVERY MEMBERSHIP,1,39,39,10/1/2019 0:00,10/8/2019 0:00,,,9/27/2019 12:59,Extend,other,,,7
130,775,"GE 6,000 BTU 115-Volt Electronic Room Window Air Conditioner with Remote",1,52.92,52.92,10/1/2019 0:00,10/8/2019 0:00,,,9/27/2019 12:59,Extend,other,,,7
130,772,YEARLY DELIVERY MEMBERSHIP,1,39,39,10/1/2019 0:00,10/8/2019 0:00,,,9/28/2019 13:18,Processed,other,,,7
130,775,"GE 6,000 BTU 115-Volt Electronic Room Window Air Conditioner with Remote",1,52.92,52.92,10/1/2019 0:00,10/8/2019 0:00,,,9/28/2019 13:18,Processed,other,,,7
129,739,Air Conditioners,1,15.12,15.12,11/1/2019 0:00,11/2/2019 0:00,,,9/26/2019 3:42,Pending,other,,,1
129,772,YEARLY DELIVERY MEMBERSHIP,1,39,39,11/1/2019 0:00,11/2/2019 0:00,,,9/26/2019 3:42,Pending,other,,,1
129,739,Air Conditioners,1,15.12,15.12,11/1/2019 0:00,11/2/2019 0:00,,,9/26/2019 3:45,Processed,other,,,1
129,772,YEARLY DELIVERY MEMBERSHIP,1,39,39,11/1/2019 0:00,11/2/2019 0:00,,,9/26/2019 3:45,Processed,other,,,1
129,739,Air Conditioners,1,15.12,15.12,11/1/2019 0:00,11/2/2019 0:00,,,9/26/2019 3:46,Complete,other,,,1
129,772,YEARLY DELIVERY MEMBERSHIP,1,39,39,11/1/2019 0:00,11/2/2019 0:00,,,9/26/2019 3:46,Complete,other,,,1
129,739,Air Conditioners,1,15.12,15.12,11/1/2019 0:00,11/2/2019 0:00,,,9/26/2019 3:49,Denied,other,,,1
129,772,YEARLY DELIVERY MEMBERSHIP,1,39,39,11/1/2019 0:00,11/2/2019 0:00,,,9/26/2019 3:49,Denied,other,,,1
133,600,Bosch GDR18V-1400B12 18V 1/4 In. Hex Impact Driver Kit,1,9.99,9.99,9/28/2019 0:00,10/8/2019 0:00,,,9/28/2019 8:52,Processing,other,,,10
133,600,Bosch GDR18V-1400B12 18V 1/4 In. Hex Impact Driver Kit,1,9.99,9.99,9/28/2019 0:00,10/8/2019 0:00,,,9/28/2019 8:57,Complete,other,,,10
133,600,Bosch GDR18V-1400B12 18V 1/4 In. Hex Impact Driver Kit,1,9.99,9.99,9/28/2019 0:00,10/8/2019 0:00,,,9/28/2019 13:13,Processed,other,,,10
133,600,Bosch GDR18V-1400B12 18V 1/4 In. Hex Impact Driver Kit,1,9.99,9.99,9/28/2019 0:00,10/8/2019 0:00,,,12/31/2019 10:10,Processed,other,,,10
135,519,"Campbell Hausfeld Reversible Air Drill, Keyless (TL054500AV)",1,2.99,2.99,9/28/2019 0:00,10/5/2019 0:00,,,9/28/2019 13:53,Processing,other,,,7
138,519,"Campbell Hausfeld Reversible Air Drill, Keyless (TL054500AV)",1,2.99,2.99,9/30/2019 0:00,10/10/2019 0:00,,,9/30/2019 8:32,Processing,other,,,10
138,523,"ACDelco Power Cordless Ratchet Wrench 3/8&quot; 12V Max. Torque 45 ft-Lbs Compact Size, Max. Hand Torque 100ft-lbs, Tool Kit with 2.0 Ah Battery and Charger ARW1209",1,4.99,4.99,9/30/2019 0:00,10/10/2019 0:00,,,9/30/2019 8:32,Processing,other,,,10
138,519,"Campbell Hausfeld Reversible Air Drill, Keyless (TL054500AV)",1,2.99,2.99,9/30/2019 0:00,10/10/2019 0:00,,,9/30/2019 8:33,Processing,other,,,10
138,523,"ACDelco Power Cordless Ratchet Wrench 3/8&quot; 12V Max. Torque 45 ft-Lbs Compact Size, Max. Hand Torque 100ft-lbs, Tool Kit with 2.0 Ah Battery and Charger ARW1209",1,4.99,4.99,9/30/2019 0:00,10/10/2019 0:00,,,9/30/2019 8:33,Processing,other,,,10
138,519,"Campbell Hausfeld Reversible Air Drill, Keyless (TL054500AV)",1,2.99,2.99,9/28/2019 0:00,10/5/2019 0:00,,,9/30/2019 8:32,Processing,other,,,7
